Review Text,Rating,sentiment_label
"setiap daftar dan memasukan kode verifikasi selalu bermasalah, padahal jaringan bagus, dan kode yang di masukkan sesuai dengan yang di berikan melalui SMS, tapi yang keluar hanyalah ""kode yang anda masukkan tidak sesuai"" ga guna banget, bukanya mempermudah masyarakat malah mempersulit menggunakan aplikasi, aplikasi nya tidak user friendly... ga guna..",1,neutral
ok banget,5,neutral
percuma punya BPJS mau daftar berobat aplikasinya susah ga jelas tolong di perbaiki dong percuma kita bayar iyuran tiap bulan mau berobat susah,1,negative
oi kenapa pas daftar no hp nya sms nya gak masuk woiii! di tungguin seharian gabisa masuk. kayanya aplikasi nya udah lama tapi kok gak stabil stabil,1,neutral
mantap,5,positive
Salam sehat selalu buat semuanya🙏 Terimakasih BPJS.,5,neutral
mantap gercep utk rubah faskes,5,positive
bagusss,4,neutral
saya sdh memberikan nomor telepon saya tetapi nomor verifikasi tidak muncul2,2,neutral
"aplikasi payah, mau daftar aja susah banget. nungguin verifikasi melalui SMS gak ada muncul tuh SMS dah nyoba pake nomer lain pun sama👎👎👎 aplikasi mempersulit orang, udh mah orang lagi sakit ditambah lagi di persulit pula,,, hadeuhhh",1,negative
membantu,5,neutral
nice,5,neutral
"Ini gmna ya Pak ? App Jkn minta akses kamera, saat ingin di aktifkan aplikasi langsung keluar sendiri. kalau saya lihat dari aplikasi nya sendiri yg tidak ada fitur untuk akses ke kamera",1,neutral
bagus bisa membantu,5,positive
"kode verifikasi udah habis waktunya baru dikrim ,udh setiap minta kode potong pulsa gak jelas",1,neutral
bagus,5,positive
puas,5,positive
mantap luar biasa,5,positive
Good Job,5,neutral
good,5,neutral
sistem verifikasinya lama banget padahal jaringan bagus data internet bagus tapi udah berkali-kali gak bisa.,1,positive
mantapp,5,neutral
bagus pelayanannya,5,positive
Terima kasih,5,neutral
"apk gak jelas ,ribet, kalau orang tua gak mungkin ngerti masak verifikasi wajah aja sulit banget dan verifikasi nomer aja pesan nya 2 jam gak di dikirim😡😡😡👿👿",1,negative
"saya mau daftar tapi kode OTP tidak muncul, padahal nomor telepon yang saya masukan sudah benar",3,neutral
apk brengsek ..kluar GK jls .....,1,neutral
Pak knp hp saya tdk bisa dwonlod mobile jkn ya dan saya mau berobat pun susah jd solusinya gmna ya,5,neutral
