Review Text,Actual Sentiment,Predicted Sentiment,Original Rating
aplikasi sehat yg bagus ribet mantab,positive,positive,1
bantu mudah guna bpjs,positive,positive,5
verifikasi wajah eror server jelek,negative,negative,1
mudah daftar antri,positive,positive,1
surat rujuk ga muncul gilran muncul ga daftar antreanyg nongol tulis pol temu gimana solusi,positive,positive,5
memuaskaik,neutral,neutral,5
kberadaan bpjs bantu utama bgi kmi yg brpenghasilan tengah bwahtpi syangnya skrang daftar kontrol aja skrang ksulitantlonglah mudah sgala bgi pasien utama dlm daftar kontrol kmi daftar dlu kmi tdk mndpt playanantrimakasih bpjs smga sbgai ldang pahala kbaikan bgi smua ptugas,positive,neutral,5
supported,neutral,neutral,4
pas verifikasi apa opsi verifikasi via whatsapp tp pas pilih verifikasi via whatsapp kode otp bilang fitur paksa metode sms sms kode otp potong pulsa perak aneh bin ajaib,negative,negative,2
layan baikmantap,neutral,neutral,1
apk trailharus ganti pasword lupa udah ga loginverifikasi kode otp ga kirim,neutral,neutral,5
bantu,neutral,neutral,5
aplkasinya bagus bingung d awat gigi rs nya d batas bpjs awat gigi pilih rs umumdaerah daftar bulan udah reservasi minggu sbelum jadwal pas h nya rs awat bilang dokter cuti mobile jkn gak pemberitahuan gila,positive,positive,1
good joob,neutral,neutral,5
alhamdulillah moga manfaat berkah,neutral,neutral,1
mudah guna update mulu,positive,positive,5
mudah niat dikit napa indonesia luas hidup org potensi cerdas ngembangin aplikasi gin doang sulit kelas aplikasi perintah kerja ga sih ni yg ngurusin aplikasi login doang susah udah login log out ganti sandi barusan coba login udah masukin nik password captcha ga pencet tombol masuk udah klik ga respond kocak bener,negative,negative,5
instal lancar moga kode otp pulsa daftar blm pulsa oto nya ga masuk masuk isi pulsa masuk,neutral,neutral,5
aplikasi bantu proses layan sehat,neutral,neutral,5
god job,neutral,neutral,5
bpjs mobile bantu,neutral,neutral,1
aplikasi sampah ganti nomer aja verifikasi akun aja ribet banget,negative,negative,5
aplikasi anjinkbkn mmudahkan bkin yg skit nambah parah krn aplikasi kluar sndirigliran masuk lg susah,negative,negative,5
verifikasi nomor telepon sampe x loh coba kirim ulang kaga kirim,neutral,neutral,5
terimakasih banyaksangat bantu aplikasi akses apa mudah bidang sehat,positive,positive,1
verifikasi aja susah nya ampun saran kalo bikin apk bener nyusahin rakyat obat aja susah,negative,negative,3
aplikasi sulit error,negative,negative,1
ngga pake bes milik warna bentuk,neutral,neutral,5
mudah ubah data,positive,positive,1
aplikasi buruk masuk nik sandicaptcha salah diinput sistem luncur,negative,negative,5
bantu susah nya gk log in nomer nik klo udah susah lg masuk nya kalo org tua yg ga hp gmna daftar nya pake data,negative,negative,1
lengkap mudah,positive,positive,5
bantu mudah akses ubah data paskes,positive,positive,5
mudah bantu,positive,positive,1
aplikasi plenger verifikasi muka aja susah banget kamera miring gak banget aplikasi perintah it nya magang gimana,negative,negative,4
tolong watermark nya baik biar ga bikin pusing swipe,positive,positive,1
sulit daftar nomor telpon pakai blom daftar aplikasi mobile jkn ribet bngt aplikasi,negative,negative,3
aplikasi gak udah auto debit tagih tetep muncul,neutral,neutral,5
daftar aplikasi aja susah banget niat aplikasi sistem,negative,negative,5
layan tugas ramah,neutral,neutral,1
tolong baik susah banget dapet otp sms udah ganti aja whatsapp dapet otp nya email udah pake jkn daftar aja ribet bgt,neutral,neutral,5
login jkn alas status nomor nik pda data duduk temu,neutral,neutral,5
apk kaya gin cok verivikasi wajah nya bikin gw darah dikit dikit gagal,negative,negative,5
daftar antrin server gagal,negative,negative,5
bikin ribet aja obat app dh download dah daftar gilir dipake hrs download payah bgt org sakit bikin ribet,negative,negative,1
moga lancar,neutral,neutral,1
aplikasi nya offline sih sabtu minggu aplikasi emang design jam kerja gmn ya dr jumat malam sampe sabtu gak akses status offline sara ya yg nama aplikasi online akses jam aplikasi pegawai,neutral,neutral,5
cepat antri rumah sakit,positive,positive,5
aplikasi baru tampil bagus terkadang daftar layan sehat faskes lanjut deteksi surat kontrol,positive,positive,5
akun,neutral,neutral,1
kali obat login salah keburu mati yg obat,neutral,neutral,1
aplikasi gak udah booking janji temu dokter h gak hubung server rumah sakit aplikasi sampah sulit masyarakat aja,negative,negative,5
aplikasi bagus,positive,positive,5
mobile jkn mudah dipahamitidak ribetsaya suka tks,positive,positive,5
bantu terimakasih,neutral,neutral,5
logout rugi orang tua obat susah payah login terlogout otomatis tolong benah mudah sulit,negative,negative,1
ga,neutral,neutral,5
terima kode otp kartu pulsa,neutral,neutral,1
mudah pindah misil,positive,positive,5
priksa nggk,neutral,neutral,5
aplikasi ga jelasudah obat pake mobil jkn nomor nik ga sesuai,neutral,neutral,5
gampang terimakasih jkn,neutral,neutral,5
aplikasi rusak gk kode ot ganti nomor email kali,negative,negative,2
aplikasi perintah terimakasih kemudahanya,neutral,neutral,5
lag akun,neutral,neutral,5
kamera balik apk perintah tp burik tbtb logout,neutral,neutral,1
mudah pengopersian bantu,positive,positive,1
kecewa bgt logout gilir login muncul notif nik salah password salah dll pdhl udh tolong baik sampe gin skrg serba online app nya error trs gni tolong jngn sulit,negative,negative,5
bantu bangetalhamdullih terimakasih jkn,neutral,neutral,1
aplikasi gak buka force close,neutral,neutral,1
make aplikasi biar dapet klinik konfirmasi dlu dapet nomer gk sistem antre,neutral,neutral,5
tolong seringkali aplikasi perintah masalah login ga salah daftar suruh dukcapil min masalah aplikasi,negative,negative,5
login aja susah banget otp ga kirim coba ulang aja kirim gimana tolong baik,neutral,neutral,5
sesat,neutral,neutral,3
pas download baru terkuci pake nik fasword salah fasword nya kali kali log in salah fasword nik gimana,neutral,neutral,5
gak heran apliksi perintah gda yg beres dr segi layan bosok,neutral,neutral,5
pngiriman otp jd utama,neutral,neutral,5
layan cepat ramah,positive,positive,1
bagus aplikasi cepat mantap,positive,positive,1
eror terustiba auto debit putus nunggak bayar ga,neutral,neutral,5
jkn susah masuk tolong bantu baik nya,neutral,neutral,2
fantastis,neutral,neutral,5
susah banget kode verifikasi via sms nya gak kirim pdhal udh kali ulang ttep aja gak kode virifikasinya baik min,neutral,neutral,3
takjub,neutral,neutral,2
aplikasi susah daftar sampek pulsa habis,negative,negative,1
bantu guna bpjs,neutral,neutral,5
susah banget verif wajah gagal mulu,negative,negative,2
tombol loginmasuk ga pencet udah ganti device,neutral,neutral,3
susah banget sih verifikasi aja detik banget nunggu detik dapet kode verifikasi itu gak langsung dapet otp nya udah ulang kali aja gak masuk sms sulit urus bgt kalo gin,negative,negative,5
banyak error,negative,negative,1
tolong kembali pol gigi scaling th skali d faskes tambal gigi estetik awat salur akar skrg gabisa d faskes ribet hrus k rs,neutral,neutral,5
apk bloon logout sndiri masuk pke nik salah mulu pdahal nik udah bner mqna dikit logout gmana sih bikin repot,negative,negative,5
mantab trimakasih bpjs,neutral,neutral,3
top markotop,neutral,neutral,4
screenshoot aplikasi tp screenshoot aplikasi perlu periksa faskes teman,neutral,neutral,5
tolong ganti jadwal kontrol bentrok psikotes langsung ilang pas ganti gak pilih ganti bikin jadwal ulang suster dokter,neutral,neutral,5
bagus bngt layan aeee,positive,positive,1
aplikasi jelek aplikasi mudah pasien sematamata mudah pegawai antri amburadul pas jaring ngelek udah simpan daftar ambil antre,positive,positive,5
bantu mudah erti,positive,positive,4
manaa ni kode sms nyaa gk kekirimm verifikasi,neutral,neutral,5
aplikasi nya mudah masyarakat sulit,neutral,neutral,1
terimakasih bantu sehat keluarga,neutral,neutral,1
jelek bgt layan nya vrifikasinyaa baik ya admin,neutral,neutral,5
aplikasi ga banget login aja sulit obat pake obat lansia emang anjimg,negative,negative,5
sistem terintregasi gerbang tagih bayar mandiri usaha,neutral,neutral,1
masuk login ribet bener login nya pakai nik tolong simpel hapal nik garagara aplikasi,neutral,neutral,1
akses mudah layan gengaman,positive,positive,5
aplikasi parah atur pakai jkn jaring kacau lucutanpa antri tetep pasien pinger print pasien parahitu yg keluh solusi solusi terima kasih,positive,positive,5
bantu ga antri kantor,neutral,neutral,5
tiba akun login,neutral,neutral,1
kirim kode otp sms kirim kode otp,neutral,neutral,5
aplikasi banyak bug gajelas ngebantu kaga,neutral,neutral,1
jarang buka apk jkn buka login ulang ribet banget masukin nik blm password nya kalo lupa gilir verivikasi pake wa suka ga ribet banget ga sii login udah gitu ga logout otomatis ribet banget kalo darurat dipake,positive,neutral,1
log out udah kali lupa sandi tp verifikasi otp nomor hp bgt,neutral,neutral,5
gartitude of work realisasi transformasi mutu layan mudah cepat tara,positive,positive,5
sehat genggam,neutral,neutral,5
bagus manfaat,positive,positive,5
aplikasi bagus tp update aplikasi mobile jkn tdk d downloadterinstal coba tdk mobile jkn,positive,positive,5
aplikasi idiot kta nya mudah nyta nya idiot,positive,positive,1
tolong bantu sya buka aplikasi lupa sandi gimana yh,neutral,neutral,5
eror updatelogin susah ampuntidak sebelumnyasungguh amat payaaaahhhhhhhhh,negative,negative,5
aplikasi burik ga ga daftar obat tolong benah,neutral,neutral,5
ribet ngga buka pas buka login pake no ktp coba efektif login nya login masuk no ktp ribet,neutral,neutral,2
mudah login via ikd,positive,positive,5
aplikasi bantu rumah rs aplikasi mobile jkn daftar antri online,neutral,neutral,5
percaya cicil rehab kalo ga sanggup bayar pake cicil rehab pas udah daftar bayar cicil ga aktif bpjsnya ttp lunasin tunggak nya aktif gmna sih ga sesuai info call centernya hoax kalo google bilang bpjs aktif kalo bayar cicil rehab gmna sih info nya sesuai,neutral,neutral,1
moga ga korupsi terima kasih ya jkn,neutral,neutral,5
dongo ni perintah bikin aplikasi buka mudah sulit aplikasi bug dongo dongo perintah,neutral,neutral,1
fitur hapus akun hapus anggota,neutral,neutral,5
aplikasi busuk log out melulu ribet priksa,neutral,neutral,5
susah daftar pas verifikasi wajah,negative,negative,2
puassss,neutral,neutral,5
aplikasi buruk wifi ku sdh mbps blm bs login kalo ad yg obat trus app blm bs masuk mati orang,negative,negative,4
aplikasi yg mudah pasien gak antri daftar tinggal antri jkn mobile udh daftar simple praktis mana aja aja,positive,positive,5
gak login masuk aplikasi jaring stabil udah ganti wifi aja hp udah riset dimatiin login udah masukin password tetep aja gak,neutral,neutral,1
