text,sentiment
bantu prosedur sehat,neutral
kode verifikasi lupa pin gak kirim kirim uda gak,neutral
ok pis,neutral
susah login kode capca nya muter,negative
ribet dftar bpjs muk susah gajelas,negative
aplikasi nda gin nih klu yg paham teknologi sulit,negative
bagustp klo saran ganti pin kala takut lupa pin,neutral
pake suruh baru mulu heran bgt,neutral
mudah obat,positive
blm alam guna jkn,neutral
otp kirim ulang kali,neutral
terimakasih bpjs sehat jakarta barat bantu aplikasi mobile jkn,neutral
pakai aplikasi tp sistem rusak aplikasi plat merah sampah,negative
bantu,neutral
aplikasi jelekkkk kasi lansia yg gk paham digital,neutral
bagus tp syngnya kdng logout,positive
tolong baik sistem hidup orang buka aplikasi fitur tambah verifikasi wajah coba force close operasi lancar aplikasi error ga login pakai tibatiba force closedan login salahaneh,neutral
aplikasi buat perintah ni ampas udah login paksa bikin auto debitoke turut eh pas masuk bilang kendalaofline internet aman aja org bikin bpjs aja susah banget,negative
lelet,negative
unpaedah gagal mulu gaje,negative
kak knpa aplikasi nya daftar antri yg tulis hubung server rs mohon bantu,neutral
aja coba bisapertama emang bikin darting tp d coba nya bisadan pulsa nya,neutral
ga screenshot kadang pasien tua paham teknologi layan sama pasien muda kadang pasien tua bantu muda screenshot gimana bantu bantu tugas tugas rumah sakit ramah guna bpjs,neutral
antri aja error mulu gak simpan,negative
tolong fast respon kendala daftar online ganggu,neutral
aada nya aplikasi jkn sngat bantu smua,neutral
susah banget verifikasi aja daftar tpi dh bilang no hp email kadaluarsa,negative
pelayun,neutral
alhamdulillah bantu,neutral
pakai wifi internetnya bagus aplikasi bilang gak koneksi internet susah ambil antri rs yg ambil nomor antri pakai jkn rebut,neutral
ok,neutral
cuman log out kadang pasword kenal,neutral
layan bpjs,neutral
screenshot nomor antri orang tua paham apliaksi wa bagus,positive
mantul top,neutral
nantap,neutral
login sebentar kadang log out tolong baik guna nyamantrimakash,positive
aplikasi eror login susah,negative
tup,neutral
apa yg mudah masuk aja udah sulit no hp ga berubahsinyal baguskuota banyakemail password jg ga ganti gagal ga masuk,negative
daftar antri tulis konfigurasi lengkap coba antri penuh antri kosong orang orang tolong baik sulit,neutral
mantap aplikasi jkn mobile mudah cepat layan kesehatanterima jkn,positive
gmna login aj gak no nik sandi parah menyulkat batu,negative
gabisa kirim kode verifikasi nya sms sinyal udah bagus udah nyoba kali gabisa aplikasi,positive
bantu kalo sakit,neutral
huh apk ga buka,neutral
aplikasi layan sehat terburukefek korupsi otp aja banget fitur whatsapp gaada bobrok banget,neutral
aplikasi yg bantu maslahat terimakasih jkn,neutral
praktis,neutral
verifikasi nya gagal lot sistem,negative
log out rujuk tingkat kosong tolong baik,positive
bantu aplikasi nik daftar daftar keluarga,neutral
aplikasi sngat burukdisuruh pulihknseteh pulihkn gk ap lg,neutral
pasien bpjs layan daerah karawang tolong perhati,neutral
rekomen,neutral
apk ga login capcha ga nongol download tau tau baru,neutral
tolong baik apk nya,positive
apk jelek daftar susah verifikasi muka gagal kondisi terang kamera login akun yg nik salah mulu pdhl sesuai rusak,negative
update verifikasi wajah gagal,negative
bantu butuh sehat,neutral
aplikasi keren,neutral
pelyanan cepat muas denagan layan ramah mudah paham,positive
email nya aktif solusi nyagimana ga kirim,positive
layan,neutral
apk notifikasi via sms udah jam masuk klo bikin apk,neutral
bagusmnnnnnnj,neutral
aplikasi jln bantu terima kasih jkn,neutral
aplikasi bagus batu keluarga,positive
praktis rubah rumah,neutral
muas,neutral
aplikasi gak banget nungguin kode otp ngak masuk tolong perhati,neutral
moga,neutral
tolong apgred batas kalo masuk akun karna diplosok kampung orang hp suka ngikut hp aplikasi nya batas kasihan gk hp klo masuk rumah sakit pake jkn tolong banget kalo aplikasi bebas akun kk nya beda no hp nya beda beli kartu hp nya,positive
aplikasi sampah buka pake wifi gak pake kuota,negative
layan,neutral
bug,neutral
buka aplikasi log in pas masukin pin gagal coba ganti pin otp nya ga muncul gimana solilusinya naikin bintang mjkn nya ga,negative
apl nya bantu trimakasih,neutral
nungguin verifikasi otp stengah matigiliran ud dapet lngsung input ud msuk tahap muncul blum pasuk otpgmn si sbenrnya,neutral
ribet bgt ya ampun daftar vermuk ga masuk mulu ampe hp panas sekali daftar subuh daftar sore eh kudu verifikasi optional yg pilih sms vermuk klik sms notif nya coba gitu aja trs ulang pdhl sengaja beli pulsa biar verifikasi ujung nya suruh verif manual kantor nya trs sistem kalo ga efektif,neutral
aplikasi guna bagus stabil,positive
bagus layan rumah sakit rujuk obat,positive
kode verifikasi ubah data verifikasi nomor handphone,neutral
aplikasi sampahhhhhh menjengkelkansudah aktif log out daftar sulit sekalisampaaaahhhhhjsaya bayar yg appl bayar gak yaaakok keluh gak perubahanperbaikan mikir gak diam aza,negative
server optimal nih duit maintenancea korupsi gk tuh,neutral
aplikasi sulit ngirim kode otp aja gak beres susahgimana masukin no hp gak akun gak bisaniat gak si sulit mudah,negative
layan buruksudah bayar tp status aktifsudah minggu padahalkomplain suruh kantor bpjsrepot sekaliharusnya cek bayar jaman serba onlinekurang canggih,neutral
ga bni bikin rek bpjs kocak,neutral
mudah obat terimakasih jkn mobile,positive
aplikasi rusak login eror mulu,negative
gabisa daftar coba,neutral
aplikasi ny bagus bantu,positive
atur hp utk nik sayang login dg nik saudara tdk hp nik anak sndri g bsa login nik orangtua tetiba logout bsa login kmbali terang pakai nik yg log trhir blan kmrn bsa login jkn ortu telvon cs saran login hp hp suami login utk ortunya sndri aja tdk bsa login hp sndri,neutral
gak masuk tadicapta mutar,neutral
ubah data aplikasi,neutral
sumpah ni app si bug verifikasi gak selsai x otp gak dateng,neutral
ribett mauu brobatt pake aplikasi,neutral
aplikasi kacau no telp aja ga nisa apk hubung cs udah urus via cs banget proses ga bikin simpel aja sih aplikasi biar gampang apk perintah emang ga,neutral
aplikasi gak aja daftar no hp aplikasi ni no hp udah pakai malahanaplikasi kocak,neutral
terimakasih mudah administrasi,positive
aplikasi nya bantu mudah proses buat bpjs cepat,positive
log in ga tot perbaikin apk nya napa sengaja biar tdk akses masuk apk nya gatelll,neutral
rusak ni aplikasi kode prisikasi nya muncul via whatsapp via pesan sken waja rusak apk,negative
aplikasi bagus bantu masyarakat,positive
aplikasi oke reaktif terima kasih,positive
serta bpjs dana pensiun lapor info serta aktif sayang lapor aplikasi jkn screenshot download mohon info gimana ambil data aplikasi jkn,neutral
kirim kode verifikasi sms aja bgt ngulang layar kunci,neutral
harap pakai aplikasi pakai kartu manual,neutral
gajelas ga muncul kode verifnya,neutral
ngambil antri jam malam siang habis maksud coba orang sakit gadang,neutral
akun login ulang ribet banget lagibisa ngga sih kalo udah login yaudah ngga keluar ribet poko ribet,neutral
update trus buka app update,neutral
aplikasi muda,neutral
rating aplikasi lucu sih verifikasi wajah daftar sulit pasien sedeng sakit rubah bijak konyol nya kode otp sulit masuk aplikasi perintah respon nya kalah kelola orang,negative
manfaat terima kasih,neutral
kasih bintang pas daftar banget salah mulu kode otp nya ga sms pulsa kuota pas buka apk nya langsung sinyal bagus and simpan luas udah coba berkalikali stuck kya gitu udah uninstalldownload terus gitu aja tolong baik biar daftar no antre cepet apk,positive
aplikasi bantu profesional,neutral
best app,neutral
kesini bagus ga apk logout suruh login ulang pas login loading nya kacau,positive
aplikasi bantu layan pandawa,neutral
kode referal nya ya,neutral
aplikasi yg bikin susah rakyat,negative
susah akses pasword slalu salah rubah pasword verifikasi gak kirim otp nya hadeuh sulit bwt orang tua yg paham teknologi,negative
akses aplikasi susah jangkau instansi becus ga sih kerja,negative
moga mudah yg sakit cepat sembuh,positive
aplikasi sampah daftar mudah sulit,negative
ubah paskes mudah,positive
mudah ubah faskes,positive
dah kode otp ga masuk udh ulang kali coba capek iya manfaat kagak hadeeh buka mudah sulit udh coba ganti no pulsa kalo emang sesuai yg komen admin pulsa yg cukup jaring yg ga masuk hhh,neutral
baiik,neutral
mudah guna,positive
oke mudah bantu cuman saran verifikasi muka lihat usia kesi orang tua susah verifikasi muka kadang daftar aga susah nya,neutral
bagus praktis,positive
gim sih aplikasi gk beres daftar gk kelardari autodebit ajpilih pmbayaran pake bri kode gk kirimsmpai mlm gilir ganti i saku kode gilir d masukin eror trs smpai capek ulangkmbli branda gk ngapain suruh login autodebit trs tpi gk bisaheran,neutral
cepat bantu,positive
layan rujuk rs ramah dokter terang arah sesuai keluh diagnosa medis pasien,neutral
bug nya benerin jaring lancar anggep offline gw kontrol nenek gw tunda tundan aelah,neutral
nomor handphone serta gimana sih orang aja daftar tolong sulit,negative
aplikasi sulit digunakantiba loh out dapetin kode otp aja sulit bangetrepot banget pokok,negative
daftar muncul cek koneksi internet sinyal internet data wifi lancar,neutral
mohon mudah operasi nya,positive
tingkat lg layan nya,neutral
ya bantu,neutral
